id,name,categ_id,type,uom_id,uom_po_id,default_code,barcode,list_price,taxes_id,supplier_taxes_id,seller_ids/partner_id/id,seller_ids/price
nexterp_demo_product_11,Marfa Lot 5% tva,Marfuri,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_11,demo_product_11,100,TVA colectat 5% Bunuri,TVA deductibil 5% Bunuri,nexterp_demo_partner_5,1.5
nexterp_demo_product_12,Marfa Lot 0% tva,Marfuri,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_12,demo_product_12,100,TVA colectat 0% Bunuri,TVA deductibil 0% Bunuri,nexterp_demo_partner_5,0.75
nexterp_demo_product_13,Europaleti,Ambalaje,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_13,demo_product_13,50,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_7,1.5
nexterp_demo_product_14,Motorina,Combustibil,product,uom.product_uom_litre,uom.product_uom_litre,demo_product_14,demo_product_14,10,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_7,4.5
nexterp_demo_product_15,Benzina,Combustibil,product,uom.product_uom_litre,uom.product_uom_litre,demo_product_15,demo_product_15,10,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_7,4.5
nexterp_demo_product_16,Lemn de Foc,Combustibil,product,uom.product_uom_cubic_meter,uom.product_uom_cubic_meter,demo_product_16,demo_product_16,500,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_7,322.5
nexterp_demo_product_17,Servicii Transport,Servicii,service,uom.product_uom_unit,uom.product_uom_unit,demo_product_17,demo_product_17,0,TVA colectat 19% Servicii,TVA deductibil 19% Servicii,,
nexterp_demo_product_18,Servicii publicitate,Servicii,service,uom.product_uom_unit,uom.product_uom_unit,demo_product_18,demo_product_18,0,TVA colectat 19% Servicii,TVA deductibil 19% Servicii,,
nexterp_demo_product_19,Avans Clienti-Furnizori 19% tva,Servicii,service,uom.product_uom_unit,uom.product_uom_unit,demo_product_19,demo_product_19,0,TVA colectat 19% Servicii,TVA deductibil 19% Servicii,,
nexterp_demo_product_20,Avans Clienti-Furnizori 9% tva,Servicii,service,uom.product_uom_unit,uom.product_uom_unit,demo_product_20,demo_product_20,0,TVA colectat 9% Servicii,TVA deductibil 9% Servicii,,
nexterp_demo_product_21,Avans Clienti-Furnizori 5% tva,Servicii,service,uom.product_uom_unit,uom.product_uom_unit,demo_product_21,demo_product_21,0,TVA colectat 5% Servicii,TVA deductibil 5% Servicii,,
nexterp_demo_product_22,Filtru cafea,Consumabile,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_22,demo_product_22,1,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_2,3.75
nexterp_demo_product_23,Cafea Vrac,Materii Prime,product,uom.product_uom_kgm,uom.product_uom_kgm,demo_product_23,demo_product_23,50,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_2,37.5
nexterp_demo_product_24,Apa Plata,Materii Prime,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_24,demo_product_24,5,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_2,3.75
nexterp_demo_product_25,Zahar,Materii Prime,product,uom.product_uom_kgm,uom.product_uom_kgm,demo_product_25,demo_product_25,5,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,nexterp_demo_partner_2,3.75
nexterp_demo_product_26,Cafea Espresso,Produse Finite,product,uom.product_uom_unit,uom.product_uom_unit,demo_product_26,demo_product_26,0,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,,
